 
Air 	air 	Minecraft Air
Birch Trapdoor 	birch_trapdoor 	Minecraft Birch Trapdoor
Jungle Trapdoor 	jungle_trapdoor 	Minecraft Jungle Trapdoor
Acacia Trapdoor 	acacia_trapdoor 	Minecraft Acacia Trapdoor
Dark Oak Trapdoor 	dark_oak_trapdoor 	Minecraft Dark Oak Trapdoor
Crimson Trapdoor 	crimson_trapdoor 	Minecraft Crimson Trapdoor
Warped Trapdoor 	warped_trapdoor 	Minecraft Warped Trapdoor
Mangrove Trapdoor 	mangrove_trapdoor 	Minecraft Mangrove Trapdoor
Iron Trapdoor 	iron_trapdoor 	Minecraft Iron Trapdoor
Ladder 	ladder 	Minecraft Ladder
Lever 	lever 	Minecraft Lever
Stone Button 	stone_button 	Minecraft Stone Button
Polished Blackstone Button 	polished_blackstone_button 	Minecraft Polished Blackstone Button
Oak Button 	oak_button 	Minecraft Oak Button
Spruce Button 	spruce_button 	Minecraft Spruce Button
Birch Button 	birch_button 	Minecraft Birch Button
Jungle Button 	jungle_button 	Minecraft Jungle Button
Acacia Button 	acacia_button 	Minecraft Acacia Button
Dark Oak Button 	dark_oak_button 	Minecraft Dark Oak Button
Crimson Button 	crimson_button 	Minecraft Crimson Button
Warped Button 	warped_button 	Minecraft Warped Button
Mangrove Button 	mangrove_button 	Minecraft Mangrove Button
Oak Pressure Plate 	oak_pressure_plate 	Minecraft Oak Pressure Plate
Spruce Pressure Plate 	spruce_pressure_plate 	Minecraft Spruce Pressure Plate
Birch Pressure Plate 	birch_pressure_plate 	Minecraft Birch Pressure Plate
Jungle Pressure Plate 	jungle_pressure_plate 	Minecraft Jungle Pressure Plate
Acacia Pressure Plate 	acacia_pressure_plate 	Minecraft Acacia Pressure Plate
Dark Oak Pressure Plate 	dark_oak_pressure_plate 	Minecraft Dark Oak Pressure Plate
Crimson Pressure Plate 	crimson_pressure_plate 	Minecraft Crimson Pressure Plate
Warped Pressure Plate 	warped_pressure_plate 	Minecraft Warped Pressure Plate
Mangrove Pressure Plate 	mangrove_pressure_plate 	Minecraft Mangrove Pressure Plate
Stone Pressure Plate 	stone_pressure_plate 	Minecraft Stone Pressure Plate
Polished Blackstone Pressure Plate 	polished_blackstone_pressure_plate 	Minecraft Polished Blackstone Pressure Plate
Light Weighted Pressure Plate 	light_weighted_pressure_plate 	Minecraft Light Weighted Pressure Plate
Heavy Weighted Pressure Plate 	heavy_weighted_pressure_plate 	Minecraft Heavy Weighted Pressure Plate
Tripwire Hook 	tripwire_hook 	Minecraft Tripwire Hook
Tripwire 	tripwire 	Minecraft Tripwire
Daylight Sensor 	daylight_detector 	Minecraft Daylight Sensor
Daylight Sensor Inverted 	daylight_detector 	Minecraft Daylight Sensor Inverted
Redstone Torch 	redstone_torch 	Minecraft Redstone Torch
Redstone Wall Torch 	redstone_wall_torch 	Minecraft Redstone Wall Torch
Redstone Torch (inactive) 	redstone_torch 	Minecraft Redstone Torch (inactive)
Redstone 	redstone_wire 	Minecraft Redstone
Redstone Repeater Block (Unpowered) 	repeater 	Minecraft Redstone Repeater Block (Unpowered)
Redstone Repeater Block (Powered) 	repeater 	Minecraft Redstone Repeater Block (Powered)
Redstone Comparator Block (Unpowered) 	comparator 	Minecraft Redstone Comparator Block (Unpowered)
Redstone Comparator Block (Powered) 	comparator 	Minecraft Redstone Comparator Block (Powered)
Redstone Lamp 	redstone_lamp 	Minecraft Redstone Lamp
Redstone Lamp Lit 	redstone_lamp 	Minecraft Redstone Lamp Lit
Dispenser 	dispenser 	Minecraft Dispenser
Dropper 	dropper 	Minecraft Dropper
Observer 	observer 	Minecraft Observer
Hopper 	hopper 	Minecraft Hopper
Target 	target 	Minecraft Target
Lightning Rod 	lightning_rod 	Minecraft Lightning Rod
Sculk Sensor 	sculk_sensor 	Minecraft Sculk Sensor
Sculk 	sculk 	Minecraft Sculk
Sculk Catalyst 	sculk_catalyst 	Minecraft Sculk Catalyst
Sculk Vein 	sculk_vein 	Minecraft Sculk Vein
Sculk Shrieker 	sculk_shrieker 	Minecraft Sculk Shrieker
Command Block 	command_block 	Minecraft Command Block
Command Block Repeating 	repeating_command_block 	Minecraft Command Block Repeating
Command Block Chain 	chain_command_block 	Minecraft Command Block Chain
Snow 	snow 	Minecraft Snow
Snow 	snow_block 	Minecraft Snow
Powder Snow 	powder_snow 	Minecraft Powder Snow
Ice 	ice 	Minecraft Ice
Packed Ice 	packed_ice 	Minecraft Packed Ice
Frosted Ice 	frosted_ice 	Minecraft Frosted Ice
Blue Ice 	blue_ice 	Minecraft Blue Ice
Cactus 	cactus 	Minecraft Cactus
Clay 	clay 	Minecraft Clay
Jukebox 	jukebox 	Minecraft Jukebox
Oak Fence 	oak_fence 	Minecraft Oak Fence
Spruce Fence 	spruce_fence 	Minecraft Spruce Fence
Birch Fence 	birch_fence 	Minecraft Birch Fence
Jungle Fence 	jungle_fence 	Minecraft Jungle Fence
Acacia Fence 	acacia_fence 	Minecraft Acacia Fence
Dark Oak Fence 	dark_oak_fence 	Minecraft Dark Oak Fence
Crimson Fence 	crimson_fence 	Minecraft Crimson Fence
Warped Fence 	warped_fence 	Minecraft Warped Fence
Mangrove Fence 	mangrove_fence 	Minecraft Mangrove Fence
Oak Fence Gate 	oak_fence_gate 	Minecraft Oak Fence Gate
Spruce Fence Gate 	spruce_fence_gate 	Minecraft Spruce Fence Gate
Birch Fence Gate 	birch_fence_gate 	Minecraft Birch Fence Gate
Jungle Fence Gate 	jungle_fence_gate 	Minecraft Jungle Fence Gate
Acacia Fence Gate 	acacia_fence_gate 	Minecraft Acacia Fence Gate
Dark Oak Fence Gate 	dark_oak_fence_gate 	Minecraft Dark Oak Fence Gate
Crimson Fence Gate 	crimson_fence_gate 	Minecraft Crimson Fence Gate
Warped Fence Gate 	warped_fence_gate 	Minecraft Warped Fence Gate
Mangrove Fence Gate 	mangrove_fence_gate 	Minecraft Mangrove Fence Gate
Nether Brick Fence 	nether_brick_fence 	Minecraft Nether Brick Fence
Nether Bricks 	nether_bricks 	Minecraft Nether Bricks
Chiseled Nether Bricks 	chiseled_nether_bricks 	Minecraft Chiseled Nether Bricks
Cracked Nether Bricks 	cracked_nether_bricks 	Minecraft Cracked Nether Bricks
Red Nether Bricks 	red_nether_bricks 	Minecraft Red Nether Bricks
Nether Brick Wall 	nether_brick_wall 	Minecraft Nether Brick Wall
Red Nether Brick Stairs 	red_nether_brick_stairs 	Minecraft Red Nether Brick Stairs
Red Nether Brick Slab 	red_nether_brick_slab 	Minecraft Red Nether Brick Slab
Red Nether Brick Wall 	red_nether_brick_wall 	Minecraft Red Nether Brick Wall
Netherrack 	netherrack 	Minecraft Netherrack
Warped Nylium 	warped_nylium 	Minecraft Warped Nylium
Crimson Nylium 	crimson_nylium 	Minecraft Crimson Nylium
Soul Sand 	soul_sand 	Minecraft Soul Sand
Soul Soil 	soul_soil 	Minecraft Soul Soil
Glowstone 	glowstone 	Minecraft Glowstone
Shroomlight 	shroomlight 	Minecraft Shroomlight
Bone Block 	bone_block 	Minecraft Bone Block
Nether Wart 	nether_wart 	Minecraft Nether Wart
Nether Wart Block 	nether_wart_block 	Minecraft Nether Wart Block
Cake Block 	cake 	Minecraft Cake Block
Any Stone Bricks 	#minecraft:stone_bricks 	Minecraft Any Stone Bricks
Stone Bricks 	stone_bricks 	Minecraft Stone Bricks
Stone Brick Wall 	stone_brick_wall 	Minecraft Stone Brick Wall
Mossy Stone Bricks 	mossy_stone_bricks 	Minecraft Mossy Stone Bricks
Mossy Stone Brick Stairs 	mossy_stone_brick_stairs 	Minecraft Mossy Stone Brick Stairs
Mossy Stone Brick Slab 	mossy_stone_brick_slab 	Minecraft Mossy Stone Brick Slab
Mossy Stone Brick Wall 	mossy_stone_brick_wall 	Minecraft Mossy Stone Brick Wall
Cracked Stone Bricks 	cracked_stone_bricks 	Minecraft Cracked Stone Bricks
Chiseled Stone Bricks 	chiseled_stone_bricks 	Minecraft Chiseled Stone Bricks
Iron Bars 	iron_bars 	Minecraft Iron Bars
Melon Block 	melon 	Minecraft Melon Block
Melon Stem 	melon_stem 	Minecraft Melon Stem
Attached Melon Stem 	attached_melon_stem 	Minecraft Attached Melon Stem
Pumpkin 	pumpkin 	Minecraft Pumpkin
Carved Pumpkin 	carved_pumpkin 	Minecraft Carved Pumpkin
Jack o'Lantern 	jack_o_lantern 	Minecraft Jack o
Pumpkin Stem 	pumpkin_stem 	Minecraft Pumpkin Stem
Attached Pumpkin Stem 	attached_pumpkin_stem 	Minecraft Attached Pumpkin Stem
Sweet Berry Bush 	sweet_berry_bush 	Minecraft Sweet Berry Bush
Vines 	vine 	Minecraft Vines
Glow Lichen 	glow_lichen 	Minecraft Glow Lichen
Lily Pad 	lily_pad 	Minecraft Lily Pad
Enchanting Table 	enchanting_table 	Minecraft Enchanting Table
Brewing Stand 	brewing_stand 	Minecraft Brewing Stand
Cauldron 	cauldron 	Minecraft Cauldron
Water Cauldron 	water_cauldron 	Minecraft Water Cauldron
Lava Cauldron 	lava_cauldron 	Minecraft Lava Cauldron
Powder Snow Cauldron 	powder_snow_cauldron 	Minecraft Powder Snow Cauldron
End Portal Block 	end_portal 	Minecraft End Portal Block
End Portal Frame 	end_portal_frame 	Minecraft End Portal Frame
End Gateway 	end_gateway 	Minecraft End Gateway
End Stone 	end_stone 	Minecraft End Stone
End Stone Bricks 	end_stone_bricks 	Minecraft End Stone Bricks
End Stone Brick Stairs 	end_stone_brick_stairs 	Minecraft End Stone Brick Stairs
End Stone Brick Slab 	end_stone_brick_slab 	Minecraft End Stone Brick Slab
End Stone Brick Wall 	end_stone_brick_wall 	Minecraft End Stone Brick Wall
End Rod 	end_rod 	Minecraft End Rod
Purpur Block 	purpur_block 	Minecraft Purpur Block
Purpur Pillar 	purpur_pillar 	Minecraft Purpur Pillar
Purpur Slab 	purpur_slab 	Minecraft Purpur Slab
Purpur Double Slab 	purpur_slab 	Minecraft Purpur Double Slab
Beetroot 	beetroots 	Minecraft Beetroot
Chorus Plant 	chorus_plant 	Minecraft Chorus Plant
Chorus Flower 	chorus_flower 	Minecraft Chorus Flower
Dragon Egg 	dragon_egg 	Minecraft Dragon Egg
Any Monster Egg 	infested_stone 	Minecraft Any Monster Egg
Stone Monster Egg 	infested_stone 	Minecraft Stone Monster Egg
Cobblestone Monster Egg 	infested_cobblestone 	Minecraft Cobblestone Monster Egg
Stone Brick Monster Egg 	infested_stone_bricks 	Minecraft Stone Brick Monster Egg
Mossy Stone Brick Monster Egg 	infested_mossy_stone_bricks 	Minecraft Mossy Stone Brick Monster Egg
Cracked Stone Brick Monster Egg 	infested_cracked_stone_bricks 	Minecraft Cracked Stone Brick Monster Egg
Chiseled Stone Brick Monster Egg 	infested_chiseled_stone_bricks 	Minecraft Chiseled Stone Brick Monster Egg
Infested Deepslate 	infested_deepslate 	Minecraft Infested Deepslate
Any Wooden Slab 	#minecraft:wooden_slabs 	Minecraft Any Wooden Slab
Oak Slab 	oak_slab 	Minecraft Oak Slab
Spruce Slab 	spruce_slab 	Minecraft Spruce Slab
Birch Slab 	birch_slab 	Minecraft Birch Slab
Jungle Slab 	jungle_slab 	Minecraft Jungle Slab
Acacia Slab 	acacia_slab 	Minecraft Acacia Slab
Dark Oak Slab 	dark_oak_slab 	Minecraft Dark Oak Slab
Crimson Slab 	crimson_slab 	Minecraft Crimson Slab
Warped Slab 	warped_slab 	Minecraft Warped Slab
Mangrove Slab 	mangrove_slab 	Minecraft Mangrove Slab
Any Stone Slab 	#minecraft:slabs 	Minecraft Any Stone Slab
Smooth Stone Slab 	smooth_stone_slab 	Minecraft Smooth Stone Slab
Sandstone Slab 	sandstone_slab 	Minecraft Sandstone Slab
Petrified Wooden Slab 	petrified_oak_slab 	Minecraft Petrified Wooden Slab
Cobblestone Slab 	cobblestone_slab 	Minecraft Cobblestone Slab
Bricks Slab 	brick_slab 	Minecraft Bricks Slab
Stone Brick Slab 	stone_brick_slab 	Minecraft Stone Brick Slab
Nether Brick Slab 	nether_brick_slab 	Minecraft Nether Brick Slab
Quartz Slab 	quartz_slab 	Minecraft Quartz Slab
Red Sandstone Slab 	red_sandstone_slab 	Minecraft Red Sandstone Slab
Cocoa Block 	cocoa 	Minecraft Cocoa Block
Nether Portal Block 	nether_portal 	Minecraft Nether Portal Block
Any Anvil 	#minecraft:anvil 	Minecraft Any Anvil
Anvil 	anvil 	Minecraft Anvil
Chipped Anvil 	chipped_anvil 	Minecraft Chipped Anvil
Damaged Anvil 	damaged_anvil 	Minecraft Damaged Anvil
Beacon 	beacon 	Minecraft Beacon
Any Cobblestone Wall 	#minecraft:walls 	Minecraft Any Cobblestone Wall
Cobblestone Wall 	cobblestone_wall 	Minecraft Cobblestone Wall
Mossy Cobblestone Wall 	mossy_cobblestone_wall 	Minecraft Mossy Cobblestone Wall
Flower Pot 	flower_pot 	Minecraft Flower Pot
Potted Oak Sapling 	potted_oak_sapling 	Minecraft Potted Oak Sapling
Potted Spruce Sapling 	potted_spruce_sapling 	Minecraft Potted Spruce Sapling
Potted Birch Sapling 	potted_birch_sapling 	Minecraft Potted Birch Sapling
Potted Jungle Sapling 	potted_jungle_sapling 	Minecraft Potted Jungle Sapling
Potted Acacia Sapling 	potted_acacia_sapling 	Minecraft Potted Acacia Sapling
Potted Dark Oak Sapling 	potted_dark_oak_sapling 	Minecraft Potted Dark Oak Sapling
Potted Mangrove Propagule 	potted_mangrove_propagule 	Minecraft Potted Mangrove Propagule
Potted Fern 	potted_fern 	Minecraft Potted Fern
Potted Dandelion 	potted_dandelion 	Minecraft Potted Dandelion
Potted Poppy 	potted_poppy 	Minecraft Potted Poppy
Potted Blue Orchid 	potted_blue_orchid 	Minecraft Potted Blue Orchid
Potted Allium 	potted_allium 	Minecraft Potted Allium
Potted Azure Bluet 	potted_azure_bluet 	Minecraft Potted Azure Bluet
Potted Red Tulip 	potted_red_tulip 	Minecraft Potted Red Tulip
Potted Orange Tulip 	potted_orange_tulip 	Minecraft Potted Orange Tulip
Potted White Tulip 	potted_white_tulip 	Minecraft Potted White Tulip
Potted Pink Tulip 	potted_pink_tulip 	Minecraft Potted Pink Tulip
Potted Oxeye Daisy 	potted_oxeye_daisy 	Minecraft Potted Oxeye Daisy
Potted Cornflower 	potted_cornflower 	Minecraft Potted Cornflower
Potted Lily Of The Valley 	potted_lily_of_the_valley 	Minecraft Potted Lily Of The Valley
Potted Wither Rose 	potted_wither_rose 	Minecraft Potted Wither Rose
Potted Red Mushroom 	potted_red_mushroom 	Minecraft Potted Red Mushroom
Potted Brown Mushroom 	potted_brown_mushroom 	Minecraft Potted Brown Mushroom
Potted Dead Bush 	potted_dead_bush 	Minecraft Potted Dead Bush
Potted Cactus 	potted_cactus 	Minecraft Potted Cactus
Potted Bamboo 	potted_bamboo 	Minecraft Potted Bamboo
Potted Crimson Fungus 	potted_crimson_fungus 	Minecraft Potted Crimson Fungus
Potted Warped Fungus 	potted_warped_fungus 	Minecraft Potted Warped Fungus
Potted Crimson Roots 	potted_crimson_roots 	Minecraft Potted Crimson Roots
Potted Warped Roots 	potted_warped_roots 	Minecraft Potted Warped Roots
Potted Azalea Bush 	potted_azalea_bush 	Minecraft Potted Azalea Bush
Potted Flowering Azalea Bush 	potted_flowering_azalea_bush 	Minecraft Potted Flowering Azalea Bush
Carrots Plant Block 	carrots 	Minecraft Carrots Plant Block
Potatoes Plant Block 	potatoes 	Minecraft Potatoes Plant Block
Hay Block 	hay_block 	Minecraft Hay Block
Any Skull 	#forge:heads 	Minecraft Any Skull
Skeleton Skull 	skeleton_skull 	Minecraft Skeleton Skull
Wither Skeleton Skull 	wither_skeleton_skull 	Minecraft Wither Skeleton Skull
Zombie Head 	zombie_head 	Minecraft Zombie Head
Head 	player_head 	Minecraft Head
Creeper Head 	creeper_head 	Minecraft Creeper Head
Dragon Head 	dragon_head 	Minecraft Dragon Head
Skeleton Wall Skull 	skeleton_wall_skull 	Minecraft Skeleton Wall Skull
Wither Skeleton Wall Skull 	wither_skeleton_wall_skull 	Minecraft Wither Skeleton Wall Skull
Zombie Wall Head 	zombie_wall_head 	Minecraft Zombie Wall Head
Player Wall Head 	player_wall_head 	Minecraft Player Wall Head
Creeper Wall Head 	creeper_wall_head 	Minecraft Creeper Wall Head
Dragon Wall Head 	dragon_wall_head 	Minecraft Dragon Wall Head
Any Wool 	#minecraft:wool 	Minecraft Any Wool
White Wool 	white_wool 	Minecraft White Wool
Orange Wool 	orange_wool 	Minecraft Orange Wool
Magenta Wool 	magenta_wool 	Minecraft Magenta Wool
Light Blue Wool 	light_blue_wool 	Minecraft Light Blue Wool
Yellow Wool 	yellow_wool 	Minecraft Yellow Wool
Lime Wool 	lime_wool 	Minecraft Lime Wool
Pink Wool 	pink_wool 	Minecraft Pink Wool
Gray Wool 	gray_wool 	Minecraft Gray Wool
Light Gray Wool 	light_gray_wool 	Minecraft Light Gray Wool
Cyan Wool 	cyan_wool 	Minecraft Cyan Wool
Purple Wool 	purple_wool 	Minecraft Purple Wool
Blue Wool 	blue_wool 	Minecraft Blue Wool
Brown Wool 	brown_wool 	Minecraft Brown Wool
Green Wool 	green_wool 	Minecraft Green Wool
Red Wool 	red_wool 	Minecraft Red Wool
Black Wool 	black_wool 	Minecraft Black Wool
Hardened Clay 	terracotta 	Minecraft Hardened Clay
Terracotta 	white_terracotta 	Minecraft Terracotta
White Terracotta 	white_terracotta 	Minecraft White Terracotta
Orange Terracotta 	orange_terracotta 	Minecraft Orange Terracotta
Magenta Terracotta 	magenta_terracotta 	Minecraft Magenta Terracotta
Light Blue Terracotta 	light_blue_terracotta 	Minecraft Light Blue Terracotta
Yellow Terracotta 	yellow_terracotta 	Minecraft Yellow Terracotta
Lime Terracotta 	lime_terracotta 	Minecraft Lime Terracotta
Pink Terracotta 	pink_terracotta 	Minecraft Pink Terracotta
Gray Terracotta 	gray_terracotta 	Minecraft Gray Terracotta
Light Gray Terracotta 	light_gray_terracotta 	Minecraft Light Gray Terracotta
Cyan Terracotta 	cyan_terracotta 	Minecraft Cyan Terracotta
Purple Terracotta 	purple_terracotta 	Minecraft Purple Terracotta
Blue Terracotta 	blue_terracotta 	Minecraft Blue Terracotta
Brown Terracotta 	brown_terracotta 	Minecraft Brown Terracotta
Green Terracotta 	green_terracotta 	Minecraft Green Terracotta
Red Terracotta 	red_terracotta 	Minecraft Red Terracotta
Black Terracotta 	black_terracotta 	Minecraft Black Terracotta
White Glazed Terracotta 	white_glazed_terracotta 	Minecraft White Glazed Terracotta
Orange Glazed Terracotta 	orange_glazed_terracotta 	Minecraft Orange Glazed Terracotta
Magenta Glazed Terracotta 	magenta_glazed_terracotta 	Minecraft Magenta Glazed Terracotta
Light Blue Glazed Terracotta 	light_blue_glazed_terracotta 	Minecraft Light Blue Glazed Terracotta
Yellow Glazed Terracotta 	yellow_glazed_terracotta 	Minecraft Yellow Glazed Terracotta
Lime Glazed Terracotta 	lime_glazed_terracotta 	Minecraft Lime Glazed Terracotta
Pink Glazed Terracotta 	pink_glazed_terracotta 	Minecraft Pink Glazed Terracotta
Gray Glazed Terracotta 	gray_glazed_terracotta 	Minecraft Gray Glazed Terracotta
Silver Glazed Terracotta 	light_gray_glazed_terracotta 	Minecraft Silver Glazed Terracotta
Cyan Glazed Terracotta 	cyan_glazed_terracotta 	Minecraft Cyan Glazed Terracotta
Purple Glazed Terracotta 	purple_glazed_terracotta 	Minecraft Purple Glazed Terracotta
Blue Glazed Terracotta 	blue_glazed_terracotta 	Minecraft Blue Glazed Terracotta
Brown Glazed Terracotta 	brown_glazed_terracotta 	Minecraft Brown Glazed Terracotta
Green Glazed Terracotta 	green_glazed_terracotta 	Minecraft Green Glazed Terracotta
Red Glazed Terracotta 	red_glazed_terracotta 	Minecraft Red Glazed Terracotta
Black Glazed Terracotta 	black_glazed_terracotta 	Minecraft Black Glazed Terracotta
Any Concrete Powder 	white_concrete_powder 	Minecraft Any Concrete Powder
White Concrete Powder 	white_concrete_powder 	Minecraft White Concrete Powder
Orange Concrete Powder 	orange_concrete_powder 	Minecraft Orange Concrete Powder
Magenta Concrete Powder 	magenta_concrete_powder 	Minecraft Magenta Concrete Powder
Light Blue Concrete Powder 	light_blue_concrete_powder 	Minecraft Light Blue Concrete Powder
Yellow Concrete Powder 	yellow_concrete_powder 	Minecraft Yellow Concrete Powder
Lime Concrete Powder 	lime_concrete_powder 	Minecraft Lime Concrete Powder
Pink Concrete Powder 	pink_concrete_powder 	Minecraft Pink Concrete Powder
Gray Concrete Powder 	gray_concrete_powder 	Minecraft Gray Concrete Powder
Light Gray Concrete Powder 	light_gray_concrete_powder 	Minecraft Light Gray Concrete Powder
Cyan Concrete Powder 	cyan_concrete_powder 	Minecraft Cyan Concrete Powder
Purple Concrete Powder 	purple_concrete_powder 	Minecraft Purple Concrete Powder
Blue Concrete Powder 	blue_concrete_powder 	Minecraft Blue Concrete Powder
Brown Concrete Powder 	brown_concrete_powder 	Minecraft Brown Concrete Powder
Green Concrete Powder 	green_concrete_powder 	Minecraft Green Concrete Powder
Red Concrete Powder 	red_concrete_powder 	Minecraft Red Concrete Powder
Black Concrete Powder 	black_concrete_powder 	Minecraft Black Concrete Powder
Any Concrete 	white_concrete 	Minecraft Any Concrete
White Concrete 	white_concrete 	Minecraft White Concrete
Orange Concrete 	orange_concrete 	Minecraft Orange Concrete
Magenta Concrete 	magenta_concrete 	Minecraft Magenta Concrete
Light Blue Concrete 	light_blue_concrete 	Minecraft Light Blue Concrete
Yellow Concrete 	yellow_concrete 	Minecraft Yellow Concrete
Lime Concrete 	lime_concrete 	Minecraft Lime Concrete
Pink Concrete 	pink_concrete 	Minecraft Pink Concrete
Gray Concrete 	gray_concrete 	Minecraft Gray Concrete
Light Gray Concrete 	light_gray_concrete 	Minecraft Light Gray Concrete
Cyan Concrete 	cyan_concrete 	Minecraft Cyan Concrete
Purple Concrete 	purple_concrete 	Minecraft Purple Concrete
Blue Concrete 	blue_concrete 	Minecraft Blue Concrete
Brown Concrete 	brown_concrete 	Minecraft Brown Concrete
Green Concrete 	green_concrete 	Minecraft Green Concrete
Red Concrete 	red_concrete 	Minecraft Red Concrete
Black Concrete 	black_concrete 	Minecraft Black Concrete
Any Carpet 	#minecraft:carpets 	Minecraft Any Carpet
White Carpet 	white_carpet 	Minecraft White Carpet
Orange Carpet 	orange_carpet 	Minecraft Orange Carpet
Magenta Carpet 	magenta_carpet 	Minecraft Magenta Carpet
Light Blue Carpet 	light_blue_carpet 	Minecraft Light Blue Carpet
Yellow Carpet 	yellow_carpet 	Minecraft Yellow Carpet
Lime Carpet 	lime_carpet 	Minecraft Lime Carpet
Pink Carpet 	pink_carpet 	Minecraft Pink Carpet
Gray Carpet 	gray_carpet 	Minecraft Gray Carpet
Light Gray Carpet 	light_gray_carpet 	Minecraft Light Gray Carpet
Cyan Carpet 	cyan_carpet 	Minecraft Cyan Carpet
Purple Carpet 	purple_carpet 	Minecraft Purple Carpet
Blue Carpet 	blue_carpet 	Minecraft Blue Carpet
Brown Carpet 	brown_carpet 	Minecraft Brown Carpet
Green Carpet 	green_carpet 	Minecraft Green Carpet
Red Carpet 	red_carpet 	Minecraft Red Carpet
Black Carpet 	black_carpet 	Minecraft Black Carpet
Glass 	glass 	Minecraft Glass
Tinted Glass 	tinted_glass 	Minecraft Tinted Glass
Any Stained Glass 	#forge:stained_glass 	Minecraft Any Stained Glass
White Stained Glass 	white_stained_glass 	Minecraft White Stained Glass
Orange Stained Glass 	orange_stained_glass 	Minecraft Orange Stained Glass
Magenta Stained Glass 	magenta_stained_glass 	Minecraft Magenta Stained Glass
Light Blue Stained Glass 	light_blue_stained_glass 	Minecraft Light Blue Stained Glass
Yellow Stained Glass 	yellow_stained_glass 	Minecraft Yellow Stained Glass
Lime Stained Glass 	lime_stained_glass 	Minecraft Lime Stained Glass
Pink Stained Glass 	pink_stained_glass 	Minecraft Pink Stained Glass
Gray Stained Glass 	gray_stained_glass 	Minecraft Gray Stained Glass
Light Gray Stained Glass 	light_gray_stained_glass 	Minecraft Light Gray Stained Glass
Cyan Stained Glass 	cyan_stained_glass 	Minecraft Cyan Stained Glass
Purple Stained Glass 	purple_stained_glass 	Minecraft Purple Stained Glass
Blue Stained Glass 	blue_stained_glass 	Minecraft Blue Stained Glass
Brown Stained Glass 	brown_stained_glass 	Minecraft Brown Stained Glass
Green Stained Glass 	green_stained_glass 	Minecraft Green Stained Glass
Red Stained Glass 	red_stained_glass 	Minecraft Red Stained Glass
Black Stained Glass 	black_stained_glass 	Minecraft Black Stained Glass
Glass Pane 	glass_pane 	Minecraft Glass Pane
Any Stained Glass Pane 	#forge:stained_glass_panes 	Minecraft Any Stained Glass Pane
White Stained Glass Pane 	white_stained_glass_pane 	Minecraft White Stained Glass Pane
Orange Stained Glass Pane 	orange_stained_glass_pane 	Minecraft Orange Stained Glass Pane
Magenta Stained Glass Pane 	magenta_stained_glass_pane 	Minecraft Magenta Stained Glass Pane
Light Blue Stained Glass Pane 	light_blue_stained_glass_pane 	Minecraft Light Blue Stained Glass Pane
Yellow Stained Glass Pane 	yellow_stained_glass_pane 	Minecraft Yellow Stained Glass Pane
Lime Stained Glass Pane 	lime_stained_glass_pane 	Minecraft Lime Stained Glass Pane
Pink Stained Glass Pane 	pink_stained_glass_pane 	Minecraft Pink Stained Glass Pane
Gray Stained Glass Pane 	gray_stained_glass_pane 	Minecraft Gray Stained Glass Pane
Light Gray Stained Glass Pane 	light_gray_stained_glass_pane 	Minecraft Light Gray Stained Glass Pane
Cyan Stained Glass Pane 	cyan_stained_glass_pane 	Minecraft Cyan Stained Glass Pane
Purple Stained Glass Pane 	purple_stained_glass_pane 	Minecraft Purple Stained Glass Pane
Blue Stained Glass Pane 	blue_stained_glass_pane 	Minecraft Blue Stained Glass Pane
Brown Stained Glass Pane 	brown_stained_glass_pane 	Minecraft Brown Stained Glass Pane
Green Stained Glass Pane 	green_stained_glass_pane 	Minecraft Green Stained Glass Pane
Red Stained Glass Pane 	red_stained_glass_pane 	Minecraft Red Stained Glass Pane
Black Stained Glass Pane 	black_stained_glass_pane 	Minecraft Black Stained Glass Pane
Sea Lantern 	sea_lantern 	Minecraft Sea Lantern
Any Prismarine 	prismarine 	Minecraft Any Prismarine
Prismarine 	prismarine 	Minecraft Prismarine
Prismarine Bricks 	prismarine_bricks 	Minecraft Prismarine Bricks
Dark Prismarine 	dark_prismarine 	Minecraft Dark Prismarine
Prismarine Stairs 	prismarine_stairs 	Minecraft Prismarine Stairs
Prismarine Brick Stairs 	prismarine_brick_stairs 	Minecraft Prismarine Brick Stairs
Dark Prismarine Stairs 	dark_prismarine_stairs 	Minecraft Dark Prismarine Stairs
Prismarine Slab 	prismarine_slab 	Minecraft Prismarine Slab
Prismarine Brick Slab 	prismarine_brick_slab 	Minecraft Prismarine Brick Slab
Dark Prismarine Slab 	dark_prismarine_slab 	Minecraft Dark Prismarine Slab
Prismarine Wall 	prismarine_wall 	Minecraft Prismarine Wall
Shulker Box 	shulker_box 	Minecraft Shulker Box
White Shulker Box 	white_shulker_box 	Minecraft White Shulker Box
Orange Shulker Box 	orange_shulker_box 	Minecraft Orange Shulker Box
Magenta Shulker Box 	magenta_shulker_box 	Minecraft Magenta Shulker Box
Light Blue Shulker Box 	light_blue_shulker_box 	Minecraft Light Blue Shulker Box
Yellow Shulker Box 	yellow_shulker_box 	Minecraft Yellow Shulker Box
Lime Shulker Box 	lime_shulker_box 	Minecraft Lime Shulker Box
Pink Shulker Box 	pink_shulker_box 	Minecraft Pink Shulker Box
Gray Shulker Box 	gray_shulker_box 	Minecraft Gray Shulker Box
Light Gray Shulker Box 	light_gray_shulker_box 	Minecraft Light Gray Shulker Box
